locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name,gene_product,TPM_mean_syn1,TPM_mean_syn3a,TPM_fold_change,TPM_log10FC,sense_covering_ops,antisense_covering_ops,coverage_type
776,MMSYN1_0776,JCVISYN3A_0776,smpB,SsrA-binding protein,9.7335,1231.5812,126.53014845636207,2.102194017592743,"OP_00404,OP_00405",,sense_only
797,MMSYN1_0797,JCVISYN3A_0797,,Uncharacterized protein,15.8491,1972.3133,124.44323652447142,2.0949712977311035,OP_00411,,sense_only
398,MMSYN1_0398,JCVISYN3A_0398,,Uncharacterized lipoprotein,1.1469,139.2346,121.40081960066266,2.0842216187560725,OP_00223,,sense_only
239,MMSYN1_0239,JCVISYN3A_0239,,Uncharacterized protein,0.6857,77.3258,112.76914102377134,2.0521902723723153,OP_00130,,sense_only
608,MMSYN1_0608,JCVISYN3A_0608,dnaI,Primosomal protein,2.0849,223.7119,107.30102163173294,2.0306038569791096,OP_00334,,sense_only
248,MMSYN1_0248,JCVISYN3A_0248,,Uncharacterized protein,6.9356,737.1754,106.28862679508622,2.026486796184752,OP_00138,,sense_only
254,MMSYN1_0254,JCVISYN3A_0254,uvrC,Excinuclease ABC subunit C,6.8106,697.6614,102.43758259184212,2.0104593210711754,OP_00142,,sense_only
826,MMSYN1_0826,JCVISYN3A_0826,yqeN,DNA polymerase III subunit delta,0.7761,68.7359,88.56577760597861,1.9472659400810304,OP_00427,,sense_only
441,MMSYN1_0441,JCVISYN3A_0441,iscS,Cysteine desulfurase,4.6852,407.7689,87.03340305643302,1.939685965019927,OP_00244,,sense_only
852,MMSYN1_0852,JCVISYN3A_0852,,Uncharacterized protein,2.2637,187.0324,82.62243230109996,1.9170979759152864,OP_00439,,sense_only
346,MMSYN1_0346,JCVISYN3A_0346,,Uncharacterized protein,3.7402,266.8844,71.35564943051175,1.8534283631460915,"OP_00194,OP_00195",,sense_only
382,MMSYN1_0382,JCVISYN3A_0382,dnk,Deoxynucleoside kinase,6.9025,491.2384,71.16818544005795,1.8522858928549395,OP_00211,,sense_only
504,MMSYN1_0504,JCVISYN3A_0504,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,15.5747,1068.8675,68.62844870206168,1.8365041820795271,OP_00275,,sense_only
164,MMSYN1_0164,JCVISYN3A_0164,,Uncharacterized protein,4.8178,323.9986,67.25032172360828,1.8276943663317475,OP_00094,,sense_only
94,MMSYN1_0094,JCVISYN3A_0094,,Uncharacterized protein,6.5021,437.1971,67.23936881930453,1.8276236280336484,OP_00053,,sense_only
325,MMSYN1_0325,JCVISYN3A_0325,,Uncharacterized protein,2.4917,164.1557,65.88100493638882,1.818760215194129,OP_00182,,sense_only
144,MMSYN1_0144,JCVISYN3A_0144,tsaC,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit,6.8768,397.4629,57.797652978129356,1.761910203137784,OP_00079,,sense_only
693,MMSYN1_0693,JCVISYN3A_0693,,Uncharacterized protease,19.555,1078.8872,55.171935566351316,1.741718220336937,OP_00369,,sense_only
528,MMSYN1_0528,JCVISYN3A_0528,pheRS,Phenylalanine--tRNA ligase subunit beta,21.9721,1153.2537,52.4871860222737,1.7200532897093097,OP_00283,,sense_only
830,MMSYN1_0830,JCVISYN3A_0830,,Uncharacterized protein,9.7338,463.7088,47.63903100536275,1.677962919198149,OP_00429,,sense_only
832,MMSYN1_0832,JCVISYN3A_0832,pth,Aminoacyl-tRNA hydrolase,13.4213,601.533,44.81927980150954,1.651464873601468,OP_00431,,sense_only
44,MMSYN1_0044,JCVISYN3A_0044,holA,DNA polymerase III subunit delta,3.7492,159.9043,42.65024538568228,1.6299215341985285,OP_00028,,sense_only
147,MMSYN1_0147,JCVISYN3A_0147,clsA,Cardiolipin synthase,2.2564,89.3722,39.608314128700584,1.5977863576735662,OP_00081,,sense_only
143,MMSYN1_0143,JCVISYN3A_0143,,Uncharacterized protein,6.4684,252.304,39.00562735761549,1.5911272673869663,OP_00079,,sense_only
544,MMSYN1_0544,JCVISYN3A_0544,hrcA,Heat-inducible transcription repressor,42.7785,1659.0294,38.781850696027206,1.5886285300622924,OP_00290,,sense_only
132,MMSYN1_0132,JCVISYN3A_0132,ietA,Toxin-antitoxin AAA ATPase,35.2021,1301.0624,36.959795012229385,1.567729553854765,OP_00074,,sense_only
523,MMSYN1_0523,JCVISYN3A_0523,ftsA,Cell division protein,7.3008,264.2189,36.190403791365334,1.5585934287391332,OP_00282,,sense_only
142,MMSYN1_0142,JCVISYN3A_0142,prmC,Protein-(glutamine-N5) methyltransferase%2C release factor-specific,6.1888,218.7434,35.34504265770424,1.5483285101448458,OP_00078,,sense_only
692,MMSYN1_0692,JCVISYN3A_0692,,Uncharacterized pseudouridine synthase,11.3249,397.273,35.07960335190598,1.545054674116683,OP_00369,,sense_only
404,MMSYN1_0404,JCVISYN3A_0404,recO,DNA repair protein,5.4098,173.4381,32.05998373322489,1.5059632976634016,OP_00226,,sense_only
4,MMSYN1_0004,JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,6.999,209.3973,29.918174024860697,1.4759350840077232,OP_00002,,sense_only
353,MMSYN1_0353,JCVISYN3A_0353,,Uncharacterized protein,44.4722,1323.1537,29.75237789000769,1.4735216814339651,OP_00196,,sense_only
326,MMSYN1_0326,JCVISYN3A_0326,,Uncharacterized protein,4.2056,124.2165,29.53597584173483,1.4703513241248827,OP_00183,,sense_only
513,MMSYN1_0513,JCVISYN3A_0513,acpS,ACP synthase,16.6797,490.6022,29.413130931611477,1.4685412561952447,OP_00279,,sense_only
601,MMSYN1_0601,JCVISYN3A_0601,,Uncharacterized protein,97.6869,2858.4527,29.261371790895197,1.4662946822558356,OP_00331,,sense_only
875,MMSYN1_0875,JCVISYN3A_0875,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,18.446,529.4288,28.701550471646968,1.457905358165792,OP_00451,,sense_only
363,MMSYN1_0363,JCVISYN3A_0363,rimM,16S rRNA processing protein,90.3743,2548.7915,28.20261401748063,1.4502893636652534,OP_00200,,sense_only
529,MMSYN1_0529,JCVISYN3A_0529,pheS,Phenylalanine--tRNA ligase subunit alpha,117.7526,3266.3928,27.739453736053388,1.443097904402962,OP_00283,,sense_only
381,MMSYN1_0381,JCVISYN3A_0381,mtnN,5'-Methylthioadenosine nucleosidase,13.3272,364.9089,27.380762650819378,1.4374455405996396,OP_00211,,sense_only
838,MMSYN1_0838,JCVISYN3A_0838,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase,8.472,207.7647,24.523689801699717,1.3895858141318351,OP_00432,,sense_only
479,MMSYN1_0479,JCVISYN3A_0479,,Uncharacterized peptidase,8.3554,196.4502,23.511764846685978,1.3712852294826667,OP_00262,,sense_only
235,MMSYN1_0235,JCVISYN3A_0235,,Uncharacterized protein,243.264,5559.2034,22.85255278216259,1.3589347206983025,OP_00127,,sense_only
361,MMSYN1_0361,JCVISYN3A_0361,rlmH,23S rRNA (pseudouridine(1915)-N3)-methyltransferase,21.7211,486.4869,22.396973449779246,1.350189335170509,OP_00199,,sense_only
620,MMSYN1_0620,JCVISYN3A_0620,,Uncharacterized transcriptional regulator,34.1448,754.5074,22.097285677467728,1.3443389303505016,OP_00341,,sense_only
549,MMSYN1_0549,JCVISYN3A_0549,rgdB,Non-canonical purine NTP pyrophosphatase,36.6506,787.5257,21.487389019552207,1.3321836466086379,OP_00291,,sense_only
520,MMSYN1_0520,JCVISYN3A_0520,,Uncharacterized hydrolase,110.4757,2332.3888,21.112233731037687,1.3245341852613501,OP_00281,,sense_only
281,MMSYN1_0281,JCVISYN3A_0281,,Uncharacterized protein,8.5689,179.4943,20.94718108508677,1.3211255871322638,OP_00157,,sense_only
66,MMSYN1_0066,JCVISYN3A_0066,,Low specificity hydrolase,312.5044,6487.0077,20.758132365496294,1.3171882769295005,OP_00038,,sense_only
730,MMSYN1_0730,JCVISYN3A_0730,,Uncharacterized protein,19.2888,397.3176,20.598357596117957,1.3138325934090014,OP_00382,,sense_only
138,MMSYN1_0138,JCVISYN3A_0138,,Uncharacterized protein,31.4133,633.9072,20.17957998682087,1.3049121226885863,OP_00077,,sense_only
296,MMSYN1_0296,JCVISYN3A_0296,,Uncharacterized protein,13.8882,279.2277,20.105391627424723,1.3033125370247554,OP_00165,,sense_only
373,MMSYN1_0373,JCVISYN3A_0373,,Uncharacterized protein,10.5316,208.1516,19.76448023092408,1.295885397691907,OP_00205,,sense_only
3,MMSYN1_0003,JCVISYN3A_0003,rnmV,Ribonuclease M5,17.1674,329.3847,19.18663862902944,1.2829988959062657,OP_00002,,sense_only
115,MMSYN1_0115,JCVISYN3A_0115,galU%3B gtaB,UTP--glucose-1-phosphate uridylyltransferase,367.6678,6855.6359,18.6462776995973,1.2705921478942988,OP_00065,OP_00066,both
376,MMSYN1_0376,JCVISYN3A_0376,,Uncharacterized protein,31.4651,572.1636,18.184070605210216,1.2596911090012117,OP_00208,,sense_only
437,MMSYN1_0437,JCVISYN3A_0437,yhaM,Putative 3'-5' exoribonuclease,467.3585,8276.0381,17.708115076541883,1.2481723355874037,OP_00242,OP_00243,both
505,MMSYN1_0505,JCVISYN3A_0505,,Uncharacterized lipoprotein,71.0176,1219.4475,17.17106041319335,1.2347971162079672,OP_00276,,sense_only
133,MMSYN1_0133,JCVISYN3A_0133,ietS,Toxin-antitoxin serine protease,58.7966,980.5812,16.6775153665348,1.2221313494804114,OP_00074,,sense_only
286,MMSYN1_0286,JCVISYN3A_0286,,Uncharacterized protein,41.0231,683.0282,16.649843624689503,1.2214101589682622,,OP_00160,antisense_only
